app_name,ads,design,performance,price,reliability,support
air.com.beachbumgammon,0,1,0,1,1,0
co.feeld,0,0,0,1,1,1
co.thefabulous.app,0,1,0,0,0,1
com.YoStarEN.Arknights,0,0,1,0,1,0
com.affinityapps.twozerofour,0,0,0,1,0,0
com.ants360.yicamera.international,0,1,1,0,1,0
com.apple.movetoios,0,0,0,0,4,1
com.asmodeedigital.terraformingmars,0,1,1,0,0,0
com.bandainamcoent.tensuramrkww,0,0,1,0,0,1
com.bandainamcoent.toluminaria_en,0,1,1,0,0,0
com.barkinglabs.fi,0,0,0,1,0,1
com.bethsoft.falloutshelter,0,1,0,0,0,0
com.cbs.ott,1,1,0,0,0,1
com.coolkit,0,0,0,0,1,1
com.delta.mobile.android,0,0,1,0,1,0
com.devsisters.ck,0,0,1,1,0,1
com.digitalkingdom.makeover,1,1,0,1,0,0
com.disney.emojimatch_goo,1,0,0,1,0,0
com.diune.pictures,0,1,0,0,1,0
com.doordash.driverapp,0,0,1,0,1,1
com.ea.gp.fifamobile,0,1,1,1,0,0
com.eharmony,0,0,0,1,0,1
com.espn.score_center,0,1,1,1,1,0
com.ford.fordpass,0,0,0,0,1,1
com.freestylelibre2.app.us,0,1,1,0,0,1
com.gameduchy.jdzd.en,0,0,0,1,0,1
com.gamesture.questland,0,1,0,1,0,0
com.getmimo,0,0,0,1,0,0
com.global.ztmslg,0,1,1,3,1,2
com.google.android.apps.authenticator2,0,0,0,0,1,1
com.google.android.apps.books,0,1,0,0,0,1
com.google.android.apps.dynamite,0,2,0,0,0,0
com.google.android.apps.fitness,0,0,1,0,1,0
com.google.android.apps.youtube.music,0,1,1,0,0,0
com.herocraft.game.free.spaceshipbattles,1,0,1,1,0,0
com.honeywell.android.lyric,0,1,1,0,1,0
com.igg.android.dressuptimeprincess,0,1,0,0,0,0
com.im30.ROE.gp,0,1,0,0,0,0
com.kingsgroup.sos,0,1,0,3,1,0
com.lifescan.reveal,0,0,0,0,1,1
com.limeturtle.nexomon,0,3,0,0,0,0
com.lyft.android.driver,0,0,0,0,1,1
com.marvel.unlimited,0,1,0,1,1,1
com.mcdonalds.app,0,6,0,0,1,0
com.medium.reader,0,1,0,0,0,1
com.miHoYo.GenshinImpact,0,1,2,1,2,1
com.microsoft.teams,0,0,3,0,1,0
com.nexon.bluearchive,0,2,1,0,2,0
com.nianticlabs.pikmin,0,0,1,1,1,0
com.os.space.force.galaxy.alien,0,0,0,1,0,1
com.outdooractive.Outdooractive,0,2,3,0,3,1
com.ovelin.guitartuna,0,0,0,1,0,0
com.pandora.android,0,1,1,0,0,0
com.phonevalley.progressive,0,0,1,0,1,1
com.planetfitness,0,1,0,1,0,0
com.plarium.mechlegion,1,1,1,2,0,0
com.plarium.raidlegends,0,0,1,1,0,0
com.playrix.township,0,1,0,0,0,1
com.poshmark.app,0,0,0,0,1,1
com.quadpay.quadpay,0,0,0,0,1,1
com.qustodio.family.parental.control.app.screentime,0,0,0,1,3,0
com.reliancegames.wwemayhem,0,0,1,0,0,1
com.resmed.myair,0,1,0,0,1,0
com.sling,0,1,1,0,0,0
com.sonypicturestelevision.myheroacademia,0,0,1,1,0,1
com.square_enix.android_googleplay.FFBEWW,0,0,1,1,0,0
com.square_enix.android_googleplay.WOTVffbeww,0,0,0,1,1,0
com.square_enix.android_googleplay.nierspww,0,0,1,0,1,0
com.survival.last,0,0,0,1,1,0
com.sygic.aura,0,1,1,0,1,0
com.thumbtack.pro,0,0,0,1,0,0
com.tuya.smartlife,0,0,2,0,0,0
com.vshower.prd_sr,0,0,0,0,1,1
com.walmart.android,0,0,1,0,1,0
com.xoom.android.app,0,0,0,0,1,1
com.yelp.android,1,0,0,1,0,1
com.yum.pizzahut,0,0,0,0,1,1
com.zellepay.zelle,0,0,0,1,1,2
epic.mychart.android,0,1,0,0,1,1
fm.dice,0,0,0,0,8,0
fr.vinted,0,1,0,0,0,1
gov.wa.doh.exposurenotifications,0,1,0,0,1,0
io.metamask,0,0,0,0,1,1
me.greenlight,0,1,0,1,0,1
net.wargaming.wot.blitz,0,0,0,1,0,1
org.kman.AquaMail.UnlockerMarket,0,0,1,0,0,1
se.illusionlabs.skate2,1,1,1,0,0,0
